K,Runs,Successful,Failed,Failure_Rate_Percent,Avg_Prompt_Tokens,Avg_Generated_Tokens,Avg_Total_Tokens,Avg_Generation_Time,Median_Generation_Time,Max_Generation_Time,Potentially_Truncated
1,100,100,0,0.0,539.74,77.56,617.3,8.103512291769974,7.667761026999869,21.447371390000622,0
2,100,100,0,0.0,983.02,95.0,1078.02,10.379523404959983,9.841141717000028,26.02553691399953,1
3,100,100,0,0.0,1423.71,104.91,1528.62,12.112251463050077,12.323572355999659,26.92492732500068,3
4,100,100,0,0.0,1879.51,104.45,1983.96,13.336310225500036,13.072557332999622,29.796234403998824,2
5,100,100,0,0.0,2314.22,114.21,2428.43,16.03934078752999,15.956956158000366,35.25084503300059,7
6,100,100,0,0.0,2723.97,114.73,2838.7,18.084143803749928,17.474771286499617,42.99272508099966,4
7,100,100,0,0.0,3172.95,119.39,3292.34,21.145055624090023,20.08338562450058,49.84882631999972,6
8,100,98,2,2.0,3564.96,118.18,3683.14,23.612900652879972,22.494772288499917,53.76047721400028,8
9,100,90,10,10.0,3596.67,111.25,3707.92,24.173156093380012,25.318827785499707,54.09245963799913,9
10,100,71,29,28.999999999999996,3014.81,88.34,3103.15,20.421466960219952,22.371944687500218,54.85744178800087,8
