ID,Adaptive_Total_Tokens,Fixed_3_Total_Tokens,Adaptive_vs_K3_Total_Tokens_Savings_pct,Fixed_5_Total_Tokens,Adaptive_vs_K5_Total_Tokens_Savings_pct,Fixed_10_Total_Tokens,Adaptive_vs_K10_Total_Tokens_Savings_pct,Adaptive_Total_Latency_ms,Fixed_3_Total_Latency_ms,Adaptive_vs_K3_Total_Latency_ms_Savings_pct,Fixed_5_Total_Latency_ms,Adaptive_vs_K5_Total_Latency_ms_Savings_pct,Fixed_10_Total_Latency_ms,Adaptive_vs_K10_Total_Latency_ms_Savings_pct,Adaptive_Chunks_Retrieved,Fixed_3_Chunks_Retrieved,Adaptive_vs_K3_Chunks_Retrieved_Savings_pct,Fixed_5_Chunks_Retrieved,Adaptive_vs_K5_Chunks_Retrieved_Savings_pct,Fixed_10_Chunks_Retrieved,Adaptive_vs_K10_Chunks_Retrieved_Savings_pct,Adaptive_Chunks_Used,Fixed_3_Chunks_Used,Adaptive_vs_K3_Chunks_Used_Savings_pct,Fixed_5_Chunks_Used,Adaptive_vs_K5_Chunks_Used_Savings_pct,Fixed_10_Chunks_Used,Adaptive_vs_K10_Chunks_Used_Savings_pct
EQ001,472,1210,60.99173553719008,1983,76.1976802824004,2562,81.57689305230289,12365.003699902443,18266.934499901254,32.30936641301645,48672.951799992006,74.59573902418535,97330.11500001884,87.29580901049994,1,3,66.66666666666666,5,80.0,10,90.0,1,3,66.66666666666666,5,80.0,10,90.0
EQ006,2460,1943,-26.60833762223366,2459,-0.040666937779585195,2562,3.9812646370023423,12748.86160006281,92748.4597999719,86.25436839861499,28692.2774000559,55.566923383927794,253587.86219998728,94.97260575113464,5,3,-66.66666666666666,5,0.0,10,50.0,5,3,-66.66666666666666,5,0.0,10,50.0
EQ016,3226,1268,-154.41640378548897,1785,-80.72829131652661,3750,13.973333333333333,36974.30939995684,56193.89229995432,34.20226311679269,50207.77370000724,26.357401105097182,181839.1299000359,79.6664725462099,8,3,-166.66666666666669,5,-60.0,10,20.0,8,3,-166.66666666666669,5,-60.0,10,20.0
EQ025,3259,1230,-164.95934959349594,2417,-34.83657426561854,4202,22.441694431223226,220358.3827999537,66669.7599000181,-230.52223846375938,119127.92430003174,-84.97626320170424,141354.4905000017,-55.890613747393495,8,3,-166.66666666666669,5,-60.0,10,20.0,8,3,-166.66666666666669,5,-60.0,10,20.0
EQ037,870,568,-53.16901408450704,1159,24.935289042277827,2620,66.79389312977099,24133.051599899773,38012.049700075295,36.51210131967188,29446.487799927127,18.044380151987102,93263.1776999915,74.12370863286382,4,3,-33.33333333333333,5,20.0,10,60.0,4,3,-33.33333333333333,5,20.0,10,60.0
EQ040,1712,1713,0.05837711617046118,2514,31.901352426412092,2562,33.177205308352846,36040.5406000209,84210.10159997968,57.20164218394721,69868.34699998144,48.41649738753592,220213.76750001215,83.63383860638099,3,3,0.0,5,40.0,10,70.0,3,3,0.0,5,40.0,10,70.0
EQ048,4243,1083,-291.78208679593723,1884,-125.21231422505308,2562,-65.6128024980484,277543.1949999765,78366.76639999496,-254.1593047024004,79111.62550002337,-250.82479123108718,182782.3056000634,-51.84357921781254,9,3,-200.0,5,-80.0,10,10.0,9,3,-200.0,5,-80.0,10,10.0
EQ053,2562,1604,-59.725685785536164,2859,10.388247639034628,2562,0.0,202593.9135000226,72109.95329992147,-180.95138636047795,118988.80540003302,-70.26300316144396,198683.49349999332,-1.9681655134725233,10,3,-233.33333333333334,5,-100.0,10,0.0,10,3,-233.33333333333334,5,-100.0,10,0.0
EQ058,3002,880,-241.13636363636363,1552,-93.4278350515464,4192,28.38740458015267,209771.19839994705,38657.91479998734,-442.634540650433,59483.90530003235,-252.65202804334535,210186.0586000257,0.19737760098927104,8,3,-166.66666666666669,5,-60.0,10,20.0,8,3,-166.66666666666669,5,-60.0,10,20.0
EQ066,4271,1557,-174.30956968529222,2627,-62.58089074990484,2562,-66.70569867291178,197438.8824000489,86279.46160000283,-128.83647943399131,74793.6910999124,-163.9779899835431,159881.88010000158,-23.49046826104151,8,3,-166.66666666666669,5,-60.0,10,20.0,8,3,-166.66666666666669,5,-60.0,10,20.0
