group,value,records,abstentions,abstention_rate,likely_evidence_present,likely_evidence_rate,likely_correct_answers,likely_correct_rate,generation_failures_with_evidence,retrieval_or_evidence_failures,manual_review_required,average_total_tokens,average_latency_seconds
K,1,10,9,0.9,5,0.5,1,0.1,4,4,5,470.7,2.804
K,2,10,9,0.9,6,0.6,1,0.1,5,3,4,875.4,9.306
K,3,10,8,0.8,7,0.7,2,0.2,5,2,3,1314.2,10.597
K,4,10,9,0.9,9,0.9,1,0.1,8,0,1,1790.4,11.363
K,5,10,10,1.0,9,0.9,0,0.0,9,0,1,2331.5,12.989
K,6,10,9,0.9,9,0.9,1,0.1,8,0,1,2699.7,10.784
K,7,10,8,0.8,9,0.9,1,0.1,7,0,1,3128.8,12.665
K,8,10,6,0.6,9,0.9,0,0.0,5,0,3,2836.2,27.753
K,9,10,6,0.6,9,0.9,0,0.0,5,0,2,3075.4,24.872
K,10,10,3,0.3,9,0.9,0,0.0,3,0,2,2610.8,33.896
category,Comparison,10,6,0.6,9,0.9,0,0.0,5,1,2,1950.0,20.269
category,Definition,10,10,1.0,7,0.7,0,0.0,7,3,3,1648.5,8.242
category,Factual,20,16,0.8,20,1.0,1,0.05,16,0,0,2272.8,15.475
category,Multi-document,10,7,0.7,7,0.7,0,0.0,4,3,4,1983.3,21.281
category,Policy,20,10,0.5,20,1.0,6,0.3,10,0,2,2150.55,19.847
category,Procedural,10,9,0.9,8,0.8,0,0.0,7,2,2,2422.8,13.409
category,Summary,10,10,1.0,10,1.0,0,0.0,10,0,0,2068.3,9.903
category,Unanswerable,10,9,0.9,0,0.0,0,0.0,0,0,10,2213.5,13.283
complexity,High,50,41,0.82,36,0.72,0,0.0,28,4,16,2061.76,15.781
complexity,Low,20,17,0.85,17,0.85,0,0.0,14,3,3,1994.4,14.97
complexity,Medium,30,19,0.6333,28,0.9333,7,0.2333,17,2,4,2278.5,16.062
